Experiment config name,Greedy,Optimal,Ratio,Log,2 Skills,4 Skills,8 Skills
00_4_8_2_0,0.001031398773193,0.836250066757202,0.001233361663207,-2.90890955494994,-2.90890955494994,-4.55872222039295,-5.70760179075871
01_4_8_2_1,0.001067876815796,0.366047859191895,0.002917314741721,-2.53501671341551,-2.53501671341551,-4.48276523780949,-6.1377991765564
02_4_8_2_2,0.000959157943726,0.588531970977783,0.001629746540587,-2.78787993215033,-2.78787993215033,-5.01882603937128,-5.55538110988914
03_4_8_2_3,0.001025676727295,7.56080007553101,0.000135657168163,-3.86755725305245,-3.86755725305245,-4.68270096022789,-5.21502718741385
04_4_8_2_4,0.001105546951294,7.00870394706726,0.000157739142592,-3.80206052415678,-3.80206052415678,-3.03773015290505,-3.12145774661884
05_4_8_2_5,0.000989198684692,1.11237192153931,0.000889269735722,-3.05096648766019,-3.05096648766019,-5.94338486306764,-4.39951809340424
06_4_8_2_6,0.001041889190674,0.341427087783813,0.003051571559354,-2.5154764413823,-2.5154764413823,-3.3637466811857,-4.51767862183777
07_4_8_2_7,0.001022100448608,1.38038897514343,0.000740443793027,-3.13050790311798,-3.13050790311798,-4.75772295005911,-6.07865324941735
08_4_8_2_8,0.001053094863892,20.1114301681519,5.23630022871105E-05,-4.2809754606823,-4.2809754606823,-3.24740795094374,-5.45091011096764
09_4_8_2_9,0.00102424621582,3.18343186378479,0.00032174277938,-3.49249119084391,-3.49249119084391,-3.16896489014765,-5.8939504548274
10_4_8_2_10,0.001129627227783,16.2726449966431,6.94187839786361E-05,-4.15852299821277,-4.15852299821277,-4.52831452865545,-4.24129453754287
11_4_8_2_11,0.001036643981934,2.46438694000244,0.000420649844027,-3.37607926778073,-3.37607926778073,-3.83002809440832,-5.61779205284559
12_4_8_2_12,0.001108407974243,3.20537209510803,0.000345796975002,-3.46117881021145,-3.46117881021145,-2.81339510056476,-5.92420055239399
13_4_8_2_13,0.001143217086792,2.99965691566467,0.000381115947234,-3.41894287843582,-3.41894287843582,-4.83481419210825,-6.04893862845342
14_4_8_2_14,0.001091003417969,9.65899991989136,0.00011295200611,-3.94710605128803,-3.94710605128803,-3.93285250020574,-5.34073195969517
15_4_8_2_15,0.001042366027832,1.29613423347473,0.000804211478187,-3.09462973267818,-3.09462973267818,-4.12672084635434,-3.47245681161234
16_4_8_2_16,0.001043796539307,25.4559111595154,4.10040926355461E-05,-4.38717279400394,-4.38717279400394,-6.15074677409984,-6.07210915285489
17_4_8_2_17,0.001008749008179,1.24742007255554,0.000808668250874,-3.09222960739113,-3.09222960739113,-3.74147553198959,-5.06701553405833
18_4_8_2_18,0.001121282577515,15.6461260318756,7.16651888928051E-05,-4.1446917500922,-4.1446917500922,-4.57435176118414,-3.46494035013774
19_4_8_2_19,0.001000165939331,3.83018398284912,0.000261127388086,-3.58314757524364,-3.58314757524364,-4.14337996402934,-5.82484716643419
20_4_8_2_20,0.001058101654053,3.95367002487183,0.000267625180502,-3.57247302678338,-3.57247302678338,-3.19102851231383,-6.04462779490798
21_4_8_2_21,0.001008987426758,5.1362669467926,0.000196443727947,-3.70676183278024,-3.70676183278024,-3.93716331703042,-3.72661628100025
22_4_8_2_22,0.001017332077026,7.45659589767456,0.000136433848768,-3.86507786934686,-3.86507786934686,-4.62623262595306,-4.65136417431928
23_4_8_2_23,0.001253128051758,15.7882721424103,7.93708165437471E-05,-4.10033915177677,-4.10033915177677,-3.43589449182185,-5.1509592617019
24_4_8_2_24,0.001113891601563,3.15392899513245,0.000353175865177,-3.45200898227041,-3.45200898227041,-4.3206221018362,-6.1908255925229
25_4_8_2_25,0.0010986328125,54.5858311653137,2.01267030114973E-05,-4.69622736178225,-4.69622736178225,-3.47839653182633,-6.57381973040905
26_4_8_2_26,0.001026630401611,1.50809407234192,0.000680746924505,-3.16701431204972,-3.16701431204972,-3.35465332311901,-3.71711843595667
27_4_8_2_27,0.001100540161133,93.460275888443,1.17754859021242E-05,-4.9290211631581,-4.9290211631581,-3.25996373938281,-4.72789384295253
28_4_8_2_28,0.001054525375366,25.6567718982697,4.1101249196401E-05,-4.38614497834633,-4.38614497834633,-3.36747822743098,-6.16376839474186
29_4_8_2_29,0.0010986328125,11.1657249927521,9.83933253965277E-05,-4.00703436134279,-4.00703436134279,-3.89172607925396,-4.6331775447919
30_4_8_4_0,0.001328945159912,48.109326839447,2.76234411748688E-05,-4.55872222039295,,,
31_4_8_4_1,0.001052856445313,31.9988520145416,3.29029442942059E-05,-4.48276523780949,-3.57781030101351,-3.93500790861808,-5.39582103533141
32_4_8_4_2,0.001290559768677,134.773392915726,9.57577560938893E-06,-5.01882603937128,,,
33_4_8_4_3,0.001110315322876,53.4745690822601,2.07634272128121E-05,-4.68270096022789,,,
34_4_8_4_4,0.001063585281372,1.16011881828308,0.000916789956865,-3.03773015290505,,,
35_4_8_4_5,0.001226663589478,1076.7387368679,1.13923976864268E-06,-5.94338486306764,,,
36_4_8_4_6,0.00128960609436,2.97991418838501,0.000432766184807,-3.3637466811857,,,
37_4_8_4_7,0.001292943954468,74.0120868682861,1.74693622241588E-05,-4.75772295005911,,,
38_4_8_4_8,0.000997066497803,1.76251196861267,0.000565707646563,-3.24740795094374,,,
39_4_8_4_9,0.00105357170105,1.55463695526123,0.000677696292684,-3.16896489014765,,,
40_4_8_4_10,0.001176118850708,39.6977360248566,2.96268495002228E-05,-4.52831452865545,,,
41_4_8_4_11,0.00128436088562,8.68390703201294,0.000147901270809,-3.83002809440832,,,
42_4_8_4_12,0.00100302696228,0.652691125869751,0.001536755936345,-2.81339510056476,,,
43_4_8_4_13,0.001194953918457,81.6893329620361,1.46280288396079E-05,-4.83481419210825,,,
44_4_8_4_14,0.001153945922852,9.88639497756958,0.000116720596888,-3.93285250020574,,,
45_4_8_4_15,0.00113844871521,15.2417318820953,7.46928711262369E-05,-4.12672084635434,,,
46_4_8_4_16,0.001226425170898,1735.35299396515,7.06729509882431E-07,-6.15074677409984,,,
47_4_8_4_17,0.001100540161133,6.06850099563599,0.000181352884662,-3.74147553198959,,,
48_4_8_4_18,0.001161336898804,43.5822839736939,2.6646994900611E-05,-4.57435176118414,,,
49_4_8_4_19,0.001270055770874,17.6686251163483,7.18819807716024E-05,-4.14337996402934,,,
50_4_8_4_20,0.001141548156738,1.77224087715149,0.000644126975884,-3.19102851231383,,,
51_4_8_4_21,0.001137733459473,9.84473085403442,0.000115567756635,-3.93716331703042,,,
52_4_8_4_22,0.001247644424438,52.7622680664063,2.36465275311463E-05,-4.62623262595306,,,
53_4_8_4_23,0.001063823699951,2.90244603157043,0.000366526608378,-3.43589449182185,,,
54_4_8_4_24,0.001225709915161,25.6454191207886,4.77944973091674E-05,-4.3206221018362,,,
55_4_8_4_25,0.000996589660645,2.99856114387512,0.000332355957683,-3.47839653182633,,,
56_4_8_4_26,0.001100301742554,2.48980379104614,0.000441923073019,-3.35465332311901,,,
57_4_8_4_27,0.001071929931641,1.95042896270752,0.000549586758675,-3.25996373938281,,,
58_4_8_4_28,0.001169443130493,2.7255699634552,0.000429063699033,-3.36747822743098,,,
59_4_8_4_29,0.001268863677979,9.88874197006226,0.000128313963679,-3.89172607925396,,,
60_4_8_8_0,0.00126314163208,644.249129056931,1.96064158275079E-06,-5.70760179075871,,,
61_4_8_8_1,0.001300096511841,1785.56132102013,7.28116417249802E-07,-6.1377991765564,,,
62_4_8_8_2,0.001253843307495,450.426959037781,2.7836773140167E-06,-5.55538110988914,,,
63_4_8_8_3,0.001397132873535,229.226539850235,6.09498740611718E-06,-5.21502718741385,,,
64_4_8_8_4,0.001347780227661,1.78269410133362,0.000756035612982,-3.12145774661884,,,
65_4_8_8_5,0.001241683959961,31.1551010608673,3.98549167770356E-05,-4.39951809340424,,,
66_4_8_8_6,0.001374006271362,45.2550799846649,3.03613709627205E-05,-4.51767862183777,,,
67_4_8_8_7,0.001293182373047,1549.93335914612,8.34347080418627E-07,-6.07865324941735,,,
68_4_8_8_8,0.001291513442993,364.761541128159,3.54070618025826E-06,-5.45091011096764,,,
69_4_8_8_9,0.001343965530396,1052.78232502937,1.27658443577926E-06,-5.8939504548274,,,
70_4_8_8_10,0.001213312149048,21.147891998291,5.73727229714456E-05,-4.24129453754287,,,
71_4_8_8_11,0.001369476318359,567.997703075409,2.41105960630475E-06,-5.61779205284559,,,
72_4_8_8_12,0.001301288604736,1092.88427996635,1.19069203262405E-06,-5.92420055239399,,,
73_4_8_8_13,0.001349925994873,1510.94476699829,8.93431728517001E-07,-6.04893862845342,,,
74_4_8_8_14,0.00122857093811,269.235422134399,4.56318462247777E-06,-5.34073195969517,,,
75_4_8_8_15,0.001206398010254,3.58053088188171,0.000336932720329,-3.47245681161234,,,
76_4_8_8_16,0.001284122467041,1516.05723500252,8.47014504065782E-07,-6.07210915285489,,,
77_4_8_8_17,0.00135350227356,157.933595895767,8.57007190828026E-06,-5.06701553405833,,,
78_4_8_8_18,0.00123119354248,3.59142398834229,0.000342814868553,-3.46494035013774,,,
