Experiment config name,Greedy,Optimal,Ratio,Log,2 Skills,4 Skills,8 Skills
00_4_8_2_0,0.001031398773193,0.206447124481201,0.004995946423497,-2.30138222764469,-2.90890955494994,-2.31274471233266,-2.36975185602056
01_4_8_2_1,0.001067876815796,0.068694829940796,0.015545228319458,-1.808402894904,-2.53501671341551,-2.30774013786242,-2.39175084540757
02_4_8_2_2,0.000959157943726,0.018110990524292,0.052959993681157,-1.27605207538555,-2.78787993215033,-2.16002189804814,-2.38321504327165
03_4_8_2_3,0.001025676727295,0.206146955490112,0.004975463861964,-2.30316642380259,-3.86755725305245,-2.38101599673094,-2.43628072103829
04_4_8_2_4,0.001105546951294,0.021080017089844,0.052445258776694,-1.2802937673406,-3.80206052415678,-2.41167668050514,-1.75442217928545
05_4_8_2_5,0.000989198684692,0.021699905395508,0.045585391579485,-1.3411743102495,-3.05096648766019,-2.56078449500017,-2.20053930247088
06_4_8_2_6,0.001041889190674,0.031537055969238,0.033036983277396,-1.48099961649075,-2.5154764413823,-2.24763382452326,-2.11661730780527
07_4_8_2_7,0.001022100448608,0.023874044418335,0.042812203525224,-1.36843241864508,-3.13050790311798,-2.38515222809749,-2.52691320273136
08_4_8_2_8,0.001053094863892,0.01780104637146,0.059159155137105,-1.22797803687111,-4.2809754606823,-2.07762158654175,-2.35638207257171
09_4_8_2_9,0.00102424621582,0.020424127578735,0.050148835580444,-1.29973914652908,-3.49249119084391,-1.22816516914038,-2.38144859442816
10_4_8_2_10,0.001129627227783,0.031057119369507,0.036372569340481,-1.43922601951222,-4.15852299821277,-2.45935244057118,-1.87030291188513
11_4_8_2_11,0.001036643981934,0.198415994644165,0.005224598872652,-2.28194704762479,-3.37607926778073,-2.44791576425832,-2.27451081297156
12_4_8_2_12,0.001108407974243,0.187045097351074,0.00592588626989,-2.22724668779237,-3.46117881021145,-2.21610533982839,-2.35945031662092
13_4_8_2_13,0.001143217086792,0.318351030349731,0.003591058227568,-2.44477755290616,-3.41894287843582,-2.35020159570987,-2.53564417565466
14_4_8_2_14,0.001091003417969,0.026162147521973,0.041701600262467,-1.37984727903526,-3.94710605128803,-2.15589037971025,-2.24625666251797
15_4_8_2_15,0.001042366027832,0.072115898132324,0.01445403932874,-1.84001076792219,-3.09462973267818,-2.33941127083833,-2.29253886447478
16_4_8_2_16,0.001043796539307,0.024065971374512,0.043372300376476,-1.36278754316561,-4.38717279400394,-2.10445803864468,-2.05861953102651
17_4_8_2_17,0.001008749008179,0.025406122207642,0.039704957723756,-1.40115526206204,-3.09222960739113,-2.2989632217887,-2.24045603052782
18_4_8_2_18,0.001121282577515,0.035550117492676,0.031540896531383,-1.50112596626714,-4.1446917500922,-2.20311634005525,-2.33804158017844
19_4_8_2_19,0.001000165939331,0.183562994003296,0.005448625115109,-2.26371307208126,-3.58314757524364,-2.35836086700779,-2.39060181356047
20_4_8_2_20,0.001058101654053,0.031486034393311,0.033605427753639,-1.47359057222087,-3.57247302678338,-2.28476468172116,-2.39865034261358
21_4_8_2_21,0.001008987426758,0.021631956100464,0.0466433743704,-1.33121003849273,-3.70676183278024,-2.03123995927239,-2.30989598684164
22_4_8_2_22,0.001017332077026,0.172257900238037,0.005905866004521,-2.22871641076702,-3.86507786934686,-2.25741760056494,-2.39855653616277
23_4_8_2_23,0.001253128051758,0.22165322303772,0.005653552132399,-2.24767859877042,-4.10033915177677,-2.06796452109374,-2.30364539511675
24_4_8_2_24,0.001113891601563,0.160765171051025,0.006928687316294,-2.15934903743588,-3.45200898227041,-2.24045650826043,-2.03653558977804
25_4_8_2_25,0.0010986328125,0.144094944000244,0.007624367531578,-2.11779617675995,-4.69622736178225,-2.57972152667673,-2.35579282761199
26_4_8_2_26,0.001026630401611,0.026698112487793,0.038453295231279,-1.41506643767164,-3.16701431204972,-2.36136845182931,-2.27278272995829
27_4_8_2_27,0.001100540161133,0.317406892776489,0.003467285009176,-2.46001045807681,-4.9290211631581,-2.20100509676158,-2.19206180972939
28_4_8_2_28,0.001054525375366,0.23674488067627,0.004454268968156,-2.3512235619183,-4.38614497834633,-1.9681505539502,-2.27515019743379
29_4_8_2_29,0.0010986328125,0.247289896011353,0.004442691877915,-2.3523538061293,-4.00703436134279,-2.30030066325042,-2.33460780891972
30_4_8_4_0,0.001328945159912,0.273056030273437,0.004866932103939,-2.31274471233266,,,
31_4_8_4_1,0.001052856445313,0.213850021362305,0.004923340379421,-2.30774013786242,,,
32_4_8_4_2,0.001290559768677,0.186552047729492,0.006917960882147,-2.16002189804814,,,
33_4_8_4_3,0.001110315322876,0.266969919204712,0.004158952911937,-2.38101599673094,,,
34_4_8_4_4,0.001063585281372,0.274441003799438,0.003875460542147,-2.41167668050514,,,
35_4_8_4_5,0.001226663589478,0.446179866790772,0.002749258047659,-2.56078449500017,,,
36_4_8_4_6,0.00128960609436,0.228081941604614,0.005654135023962,-2.24763382452326,,,
37_4_8_4_7,0.001292943954468,0.313857078552246,0.004119530967509,-2.38515222809749,,,
