Experiment config name,Optimal cost,Raw CBAA,Raw ADMM,CBAA,ADMM
60_4_8_8_0,773.683,1191.05805708284,994.210100445329,1.53946520355603,1.28503547376035
61_4_8_8_1,818.334,937.241342515339,1079.03294015512,1.14530416983205,1.31857278342965
62_4_8_8_2,869.046,922.858713782778,869.165614121553,1.06192159423411,1.00013763842369
63_4_8_8_3,870.153,917.38650840358,891.91130203614,1.05428184285244,1.02500514511372
64_4_8_8_4,1055.583,1071.15606064269,1266.08557350306,1.01475304229292,1.19941830581116
65_4_8_8_5,625.046,801.707825372446,785.313332663207,1.2826381184304,1.25640886056899
66_4_8_8_6,556.538,755.180320403064,657.880158567244,1.35692499057219,1.18209387062023
67_4_8_8_7,780.962,846.988508961304,957.475373506933,1.08454509817546,1.22602043826324
68_4_8_8_8,786.795,1030.99241865365,816.540178710394,1.31036981507718,1.03780550042946
69_4_8_8_9,776.004,1109.23868182005,831.764204788514,1.42942392284067,1.07185556361631
70_4_8_8_10,1156.597,1472.68954575437,1373.93270751913,1.27329531872759,1.18790962411205
71_4_8_8_11,1000.948,1349.115122037,1241.40459946595,1.34783737220815,1.2402288625043
72_4_8_8_12,833.557,1171.92052246667,1361.16761449509,1.4059272760791,1.63296285016512
73_4_8_8_13,904.56,1017.61593089842,1069.13130653088,1.12498444646947,1.18193520223189
74_4_8_8_14,912.252,1196.78436182517,1100.65369820136,1.31190105565696,1.20652374366004
75_4_8_8_15,951.619,1320.38157491564,1107.71406399412,1.38751073162226,1.16403105023557
76_4_8_8_16,692.314,812.032408239478,815.580011269895,1.17292501414023,1.17804928294083
77_4_8_8_17,583.679,828.887548428299,889.765108229717,1.42010856725751,1.52440829330799
78_4_8_8_18,763.942,1036.08666440566,860.202490037668,1.3562373379205,1.12600497163092
79_4_8_8_19,553.021,634.063594902554,553.505524647391,1.14654523951632,1.00087614149805
80_4_8_8_20,864.494,900.282616387095,1023.76227197873,1.04139833982317,1.18423294086336
81_4_8_8_21,937.877,1263.96585845791,1116.86704386669,1.34768829863395,1.19084596793256
82_4_8_8_22,574.372,628.232616598973,824.112003238185,1.09377305404681,1.43480532344575
83_4_8_8_23,1004.651,1052.25504825139,1219.35860838015,1.04738366681702,1.21371362630421
84_4_8_8_24,764.103,1062.26641515469,1029.3633492491,1.39021364286581,1.34715260802418
85_4_8_8_25,578.375,721.704612894978,806.274278457411,1.24781432962175,1.39403376435256
86_4_8_8_26,809.214,948.151523568264,1030.50911806974,1.17169441404655,1.27346921589313
87_4_8_8_27,741.799,872.11986591297,900.095082308611,1.17568218063515,1.21339484457193
88_4_8_8_28,935.894,1022.50500885351,1123.46413142314,1.09254360948303,1.20041813648035
89_4_8_8_29,879.044,1161.86099173646,912.977829591701,1.32173246360417,1.03860310700227
