Experiment,Optimal ,Greedy,,,2 Skills,4 Skills,8 Skills
00_4_8_2_0,1668.184,1581.01123298298,0.947743913730727,,0.947743913730727,1.09182884659027,1.23104193714233
01_4_8_2_1,1696.045,1793.63967892185,1.05754250560678,,1.05754250560678,1.45468838207921,0.906290580320431
02_4_8_2_2,1440.167,1452.43112089708,1.00851576303101,,1.00851576303101,0.988227884096791,1.05844765574193
03_4_8_2_3,1715.918,1958.4890513905,1.14136517676865,,1.14136517676865,1.36213628129167,1.08799286338209
04_4_8_2_4,1410.354,1338.12439289959,0.948786186233804,,0.948786186233804,1.23004291616147,0.989727764739562
05_4_8_2_5,1450.145,1297.19455085026,0.894527478872982,,0.894527478872982,1.21561917660219,1.15746857554595
06_4_8_2_6,1220.466,1336.75174627884,1.09527979171795,,1.09527979171795,0.694737347712945,0.9815595363404
07_4_8_2_7,1881.829,2110.48714671255,1.12150846156189,,1.12150846156189,1.29054759136109,0.822595809396205
08_4_8_2_8,1652.287,2205.37529689021,1.33474105702593,,1.33474105702593,1.14289883971744,1.55179271696747
09_4_8_2_9,1501.224,2021.81916533105,1.34678047068995,,1.34678047068995,1.07939150927765,1.16173463847516
10_4_8_2_10,1835.604,1882.46870782592,1.0255309466671,,1.0255309466671,0.951864733607937,1.18638821372609
11_4_8_2_11,1314.54,1541.8899841667,1.17295022149703,,1.17295022149703,0.893121003552064,1.03995927675473
12_4_8_2_12,2084.164,1811.97749404534,0.869402548957442,,0.869402548957442,1.21073301217444,1.1233052045172
13_4_8_2_13,2077.479,2734.36065376473,1.31619171782951,,1.31619171782951,0.865668532017528,1.1169588392633
14_4_8_2_14,1981.712,2302.47708215711,1.16186261281009,,1.16186261281009,1.03049399396943,0.914565127885031
15_4_8_2_15,1840.831,2060.28627114846,1.11921532783208,,1.11921532783208,1.10384937072277,1.0613441260864
16_4_8_2_16,2048.972,2152.4506263098,1.05050270394608,,1.05050270394608,0.927272490233611,0.992882265839407
17_4_8_2_17,1415.934,1439.60561951592,1.01671802465081,,1.01671802465081,1.49445857654587,1.05484590806483
18_4_8_2_18,1284.243,1279.90930089555,0.996625483569349,,0.996625483569349,1.00249860070803,1.17589245662781
19_4_8_2_19,1890.84,1901.19796903757,1.00547797224385,,1.00547797224385,0.953739070071136,1.37271538600564
20_4_8_2_20,1740.733,1729.39356952792,0.993485830123243,,0.993485830123243,1.09798523478747,1.21366705217487
21_4_8_2_21,1514.291,2115.14681102856,1.39679018829839,,1.39679018829839,1.18904407096219,1.280633841529
22_4_8_2_22,1582.401,1725.59391953563,1.09049091825374,,1.09049091825374,0.992095184024162,0.991437722572035
23_4_8_2_23,1881.33,2692.87796834454,1.43136928042637,,1.43136928042637,0.910154227522013,1.03509652827667
24_4_8_2_24,1161.882,1189.66107197516,1.02390868605862,,1.02390868605862,1.33159665182142,1.14340409859177
25_4_8_2_25,1558.882,1764.19251123278,1.13170368971659,,1.13170368971659,0.910424924106782,1.0242776960426
26_4_8_2_26,1418.343,1568.36145473214,1.10577022252878,,1.10577022252878,1.02288412349337,1.02101836176485
27_4_8_2_27,1698.976,1710.5634792138,1.00682027245458,,1.00682027245458,0.933782382515295,1.43072302626366
28_4_8_2_28,2125.766,2896.71568986624,1.36266912250278,,1.36266912250278,1.17615227929615,1.07847673385894
29_4_8_2_29,1553.65,1838.50577192332,1.18334616671923,,1.18334616671923,1.07600040848167,1.10883042759519
30_4_8_4_0,2163.73,2362.42283023277,1.09182884659027,,,,
31_4_8_4_1,1784.281,2595.57284106467,1.45468838207921,,,,
32_4_8_4_2,2644.83,2613.69475469572,0.988227884096791,,,,
33_4_8_4_3,1896.739,2583.61700804089,1.36213628129167,,,,
34_4_8_4_4,1568.683,1929.54741185293,1.23004291616147,,,,
35_4_8_4_5,1943.491,2362.54492915377,1.21561917660219,,,,
36_4_8_4_6,2449.877,1702.02104920295,0.694737347712945,,,,
37_4_8_4_7,2137.985,2759.17139211613,1.29054759136109,,,,
38_4_8_4_8,1374.227,1570.60244380837,1.14289883971744,,,,
39_4_8_4_9,2111.274,2278.89122935866,1.07939150927765,,,,
40_4_8_4_10,2675.079,2546.31335971519,0.951864733607937,,,,
41_4_8_4_11,2608.664,2329.85260961014,0.893121003552064,,,,
42_4_8_4_12,2130.398,2579.34318767041,1.21073301217444,,,,
43_4_8_4_13,1415.416,1225.28109091412,0.865668532017528,,,,
44_4_8_4_14,2044.645,2106.99439229963,1.03049399396943,,,,
