Experiment,config,name,score,memory,used,run,time
00_4_8_2_0,1704.08,179572736,0.370310068130493,,,,
01_4_8_2_1,1749.228,134799360,0.094286918640137,,,,
02_4_8_2_2,1453.405,160718848,0.228969097137451,,,,
03_4_8_2_3,1715.918,189440000,0.707647085189819,,,,
04_4_8_2_4,1463.782,168841216,0.403471946716309,,,,
05_4_8_2_5,1486.186,186142720,0.400715827941895,,,,
06_4_8_2_6,1238.129,161243136,0.169811010360718,,,,
07_4_8_2_7,1884.555,254693376,7.74827694892883,,,,
08_4_8_2_8,2013.787,205905920,2.72837615013123,,,,
09_4_8_2_9,1501.224,190595072,0.853968143463135,,,,
10_4_8_2_10,1936.123,194650112,0.943670988082886,,,,
11_4_8_2_11,1330.931,179343360,0.476094961166382,,,,
12_4_8_2_12,2084.164,165269504,0.268420934677124,,,,
13_4_8_2_13,2098.811,266158080,5.77497005462647,,,,
14_4_8_2_14,2013.454,160866304,0.25,,,,
15_4_8_2_15,1893.113,184233984,0.549298048019409,,,,
16_4_8_2_16,2048.972,202657792,1.12978792190552,,,,
17_4_8_2_17,1415.934,185298944,0.437989950180054,,,,
18_4_8_2_18,1284.243,249196544,2.57795596122742,,,,
19_4_8_2_19,1890.84,188432384,0.62053918838501,,,,
20_4_8_2_20,1811.166,168210432,0.302332878112793,,,,
21_4_8_2_21,1514.291,133369856,0.144577980041504,,,,
22_4_8_2_22,1718.573,179544064,0.318570137023926,,,,
23_4_8_2_23,2133.111,169742336,0.294164896011353,,,,
24_4_8_2_24,1161.882,186163200,0.445960998535156,,,,
25_4_8_2_25,1610.494,190496768,0.919085025787354,,,,
26_4_8_2_26,1459.902,135778304,0.077752113342285,,,,
27_4_8_2_27,1726.094,250880000,3.24867820739746,,,,
28_4_8_2_28,2449.381,192098304,0.424153089523315,,,,
29_4_8_2_29,1579.801,214241280,1.64631581306458,,,,
30_4_8_4_0,2286.619,183328768,0.472825050354004,,,,
31_4_8_4_1,1784.281,161558528,0.206977844238281,,,,
32_4_8_4_2,3017.395,326782976,13.3369460105896,,,,
33_4_8_4_3,2041.882,270544896,2.5694317817688,,,,
