Experiment config name,,,,,,,,2 Skills,,4 Skills,,8 Skills
00_4_8_2_0,1.57260039955214,0.004344282560126,1.21250006413016,0.000131731900161,1.2648345558267,6.41903859642896E-06,,-2.36208193518886,0.083681770244507,-3.88030904366912,0.102033722199174,-5.19253001297973
00_4_8_2_0,1.09015072688535,0.002437702457218,1.23679662503408,9.10410132794664E-05,1.31434562745721,8.31743741442766E-06,,-2.6130193049007,0.092298291474739,-4.04076291725797,0.11870958467554,-5.08001045834865
00_4_8_2_0,1.54143771861451,0.002474357736312,1.21273113290044,9.19731175198016E-05,1.21482339904029,7.11319295524224E-06,,-2.60653751098226,0.083764526801737,-4.03633909242458,0.084513148389636,-5.14793541030111
00_4_8_2_0,1.4934051388551,0.002642972020141,1.43128582320126,0.000134742679344,1.17286459983179,6.52213617227136E-06,,-2.57790743450835,0.15572636963955,-3.8704948209974,0.069247878321813,-5.18561013802797
00_4_8_2_0,1.25734792334194,0.002475116121396,1.24021739861714,0.000142611948771,1.39283018673332,6.48920972134787E-06,,-2.60640442109465,0.093497819633424,-3.84584408550861,0.143898170652096,-5.18780818988003
01_4_8_2_1,1.12128213268416,0.011375484416783,1.06260511672832,0.000193190240182,1.31281909104605,2.16938086541396E-06,,-1.94403010016041,0.026371902823036,-3.71401481757977,0.118204883611512,-5.66366419476914
01_4_8_2_1,1.61352827460834,0.007721407153429,1.50969140499795,0.000133139649654,1.53812950189628,1.49616448538115E-06,,-2.11230354638956,0.17888818252285,-3.87569259019293,0.186992902169739,-5.82502065836559
01_4_8_2_1,1.48623555073576,0.004702352870514,1.52570383163207,0.000189013359784,1.55683696603707,1.59274080778312E-06,,-2.32768478398035,0.183470236914197,-3.72350749807324,0.192243135074404,-5.79785489269112
01_4_8_2_1,1.1910034678025,0.005061702980707,1.4947903881029,0.000146343162159,1.52115658914149,1.61618041918837E-06,,-2.29570334270691,0.174580296558325,-3.83462756503744,0.182173922994266,-5.79151015922711
01_4_8_2_1,1.06296231347923,0.005800937493102,1.45971256213619,0.000178158549022,1.45547184875443,1.5060270541145E-06,,-2.23650181416473,0.16426734553239,-3.7491933329874,0.163003809878681,-5.82216722644401
02_4_8_2_2,1.27375387536694,0.003641973487092,1.26188134091201,3.61294730234909E-05,1.43283602210702,3.37050758000805E-06,,-2.43866322011484,0.101018518608608,-4.44213837290912,0.156196491326216,-5.47230469182975
02_4_8_2_2,1.25444865924142,0.00365089484668,1.179284929751,3.62024098530123E-05,1.57179446431962,2.36833505977899E-06,,-2.43760067544914,0.071618748664571,-4.44126251921736,0.19639575490453,-5.62555685586833
02_4_8_2_2,1.27375387536694,0.003775107622478,1.26188134091201,3.27893952715864E-05,1.55191343579351,2.27633758236822E-06,,-2.42307066279451,0.101018518608608,-4.48426659286509,0.190867493078305,-5.642763331342
02_4_8_2_2,1.27375387536694,0.003260413800108,1.179284929751,2.30115697139881E-05,1.60159982484229,2.39273439074446E-06,,-2.48672727732504,0.071618748664571,-4.63805375530479,0.20455401263897,-5.62110550825503
02_4_8_2_2,1.25444865924142,0.007364582339688,1.18784395607858,2.82051010160823E-05,1.20517825371111,3.23731123227855E-06,,-2.13285187783861,0.074759392273853,-4.54967234051761,0.081051286643476,-5.48981554589753
03_4_8_2_3,1.10878870155563,0.000686909927123,1.27552855517471,0.000107125126826,1.35720972580844,1.86555090885158E-05,,-3.16310020721712,0.105690185576927,-3.97010865090492,0.132646963152422,-4.72919289503824
03_4_8_2_3,1.10878870155563,0.000501856731785,1.3044879835131,9.75365326894713E-05,1.58994164313591,1.76048616447093E-05,,-3.29942024595381,0.115440082885846,-4.0108326871348,0.201381184365004,-4.75436738366823
03_4_8_2_3,1.17723749357084,0.000560841456813,1.52805917244024,6.18709285875687E-05,1.65747905666808,1.37932895265636E-05,,-3.25115989126167,0.184140172149816,-4.20851336583824,0.21944804951666,-4.86033214768443
03_4_8_2_3,1.10878870155563,0.000418292422032,1.40236054526602,7.12437210310286E-05,1.43384379793815,1.5538701677008E-05,,-3.3785200032164,0.146859684592946,-4.14725340558948,0.156501842134789,-4.80858527112498
03_4_8_2_3,1.14409333804038,0.000479192031694,1.26655417786225,6.92256835789831E-05,1.64624052628138,1.82622246624092E-05,,-3.31949041228005,0.102623771815766,-4.1597327470578,0.216493288716654,-4.73844631881933
04_4_8_2_4,1.22499520288066,0.000896006171063,1.09559104598176,0.003916089038134,1.28739830088381,0.001172971073202,,-3.04768899921134,0.039648474205689,-2.40714744242286,0.109712931608802,-2.93071269794726
04_4_8_2_4,1.22499520288066,0.000530207010991,1.11178093339405,0.004377252821705,1.60240154236722,0.001990252713005,,-3.27555453383685,0.046019221786769,-2.35879836864838,0.204771354309266,-2.70109177540165
04_4_8_2_4,1.25694517280531,0.001224631970676,1.09559104598176,0.003025876725315,1.59096764240333,0.0018247862425,,-2.91199440690671,0.039648474205689,-2.51914876917668,0.201661346919627,-2.73878800196905
04_4_8_2_4,1.16742896717378,0.000759988702717,1.40945495353299,0.003589865665272,1.33570355411908,0.001287654995215,,-3.11919286348781,0.149051200289442,-2.44492180265362,0.125710081570655,-2.89020048305169
04_4_8_2_4,1.15709621949673,0.000492606370526,1.57668254598375,0.003681985736883,1.18533325244324,0.00130987236018,,-3.30749997604056,0.197744259970617,-2.43391789817991,0.073840467941178,-2.88277102187877
05_4_8_2_5,1.34563383776394,0.003389580569107,1.19059875856386,4.5899991814421E-06,1.34758678882627,6.07200287418128E-05,,-2.46985403860873,0.075765425377547,-5.33818739191268,0.12955674468963,-4.21666803153933
05_4_8_2_5,1.44975474059303,0.003519572731139,1.51973688552706,3.34097876530103E-06,1.22413833244737,6.16139149195175E-05,,-2.45351005577514,0.181768404355998,-5.47612628465576,0.087830497567682,-4.21032119546034
05_4_8_2_5,1.64764829458228,0.003511535581336,1.5681557557038,3.35576185718289E-06,1.51514019647932,6.09073701563018E-05,,-2.45450292664977,0.195389196411711,-5.47420886661004,0.180452820125675,-4.21533015195586
05_4_8_2_5,1.43666699947176,0.003813103419598,1.5849218898643,3.27520909121437E-06,1.46139925003198,8.85107894282983E-05,,-2.41872141556251,0.200007863628335,-5.48476096918,0.164768880135888,-4.05300378575909
05_4_8_2_5,1.33159042575708,0.003411245929446,1.71714107935737,4.41712751515011E-06,1.31128677776758,6.08859597089316E-05,,-2.46708696955442,0.234805978020202,-5.35486006319878,0.117697682065313,-4.21548284404917
06_4_8_2_6,1.02905628023461,0.009733662465896,1.46646262951904,0.001517057100922,1.65905403213131,2.05994700148005E-05,,-2.01172371785627,0.166271000149533,-2.81899807237831,0.219860530372975,-4.68614395305845
06_4_8_2_6,1.02905628023461,0.008413667662726,1.20383829122952,0.001030293300185,1.33554309972171,2.18629393720689E-05,,-2.07501464647813,0.080568153081816,-2.9870391243052,0.125657907834202,-4.66029144955683
06_4_8_2_6,1.02905628023461,0.014270494998051,1.43309680944502,0.001280244156955,1.43734563823961,1.43589152881592E-05,,-1.84556096233079,0.156275529118665,-2.89270719761268,0.157561215406623,-4.84287836665082
06_4_8_2_6,1.02905628023461,0.011204365337144,1.39487476364632,0.001011949799292,1.40766588326548,1.51544330316245E-05,,-1.95061273871683,0.14453521700109,-2.9948410314006,0.148499585009597,-4.81946030712499
06_4_8_2_6,1.02905628023461,0.008529730197913,1.46646262951904,0.001297348232112,1.5664406222941,1.37169816640959E-05,,-2.06906470569188,0.166271000149533,-2.88694343564631,0.194913937105522,-4.86274144189741
07_4_8_2_7,1.35315632190016,0.002905067814459,1.42270302772765,7.86429953635315E-05,1.36878729013302,2.04910794716926E-06,,-2.53684372520082,0.153114255756066,-4.10433995340228,0.136335963912703,-5.68843516232839
07_4_8_2_7,1.35453865516056,0.002297545658835,1.30257477645026,7.56621303448083E-05,1.42542079382937,2.82790593720232E-06,,-2.63873584917665,0.114802664077179,-4.12112143486498,0.153943089931318,-5.54853504029005
07_4_8_2_7,1.215366726073,0.00270484333744,1.30073588015806,8.81869475365216E-05,1.51273934620397,2.14920148816562E-06,,-2.5678578838497,0.114189120208879,-4.05459568961133,0.179764103001841,-5.66772286738592
07_4_8_2_7,1.31515790911085,0.00288855030227,1.35419422310882,6.16235521348911E-05,1.42096031722544,2.10582762040053E-06,,-2.53932006509398,0.131680956797609,-4.2102532714829,0.152581949672255,-5.67657718233043
07_4_8_2_7,1.215366726073,0.001931541760702,1.30073588015806,6.00786864382311E-05,1.36878729013302,2.46651557339442E-06,,-2.71409589779802,0.114189120208879,-4.22127957132453,0.136335963912703,-5.60791613809038
08_4_8_2_8,1.18559174298008,0.000141421517936,1.74243937647923,0.002461851611156,1.55270144329954,7.28780636425614E-06,,-3.84948450560362,0.241157676917219,-2.60873812784593,0.191087956699234,-5.13740317501039
08_4_8_2_8,1.33842991001894,0.000178494963154,1.50536229727172,0.003354182249476,1.74488313010414,5.01028596692392E-06,,-3.74837403448337,0.177641034660993,-2.47441334370029,0.241766343816335,-5.30013748564717
08_4_8_2_8,1.55692453811689,0.000127665499979,1.35198486091985,0.002380848871554,1.74086058992846,5.02668342336549E-06,,-3.89392644958914,0.130971828546607,-2.62326817130374,0.240763993719868,-5.29871846544127
08_4_8_2_8,1.18559174298008,0.000132285315534,1.16177796740221,0.002957900498167,1.39200816068606,5.18504833163016E-06,,-3.87848836243763,0.065123136018352,-2.52901643947497,0.14364178134533,-5.28524719104689
08_4_8_2_8,1.18559174298008,0.000114644975047,1.35453131480041,0.002027112137146,1.72223999152989,6.92619929851828E-06,,-3.9406449758855,0.131789049744096,-2.69312222604963,0.236093669611748,-5.15950501596279
09_4_8_2_9,1.23076892409312,0.000739265807805,1.30627175393875,0.003023443754312,1.21359767317406,2.30762364789573E-06,,-3.13119938013417,0.116033536019256,-2.51949810624413,0.084074735108408,-5.63683501916007
09_4_8_2_9,1.01679041878846,0.000731040565887,1.57558042458009,0.002360444310848,1.18517290794358,1.60735230226846E-06,,-3.13605852310771,0.197440576383321,-2.62700624127243,0.073781715314692,-5.79388892338463
09_4_8_2_9,1.23076892409312,0.001022060276348,1.29253225261857,0.003175998697137,1.30103426174734,2.31354788154456E-06,,-2.99052349078311,0.111441388871984,-2.49811968440185,0.11428873352691,-5.63572150784535
09_4_8_2_9,1.01679041878846,0.000601803671286,1.25746208281723,0.002147156594576,1.28119739254553,1.67776989768532E-06,,-3.22054516718685,0.099494898323179,-2.66813628081748,0.107616046129592,-5.77526760192088
09_4_8_2_9,1.01679041878846,0.000616183051043,1.56372841052256,0.001944533264117,1.34604599582058,1.64235913746614E-06,,-3.21029025171809,0.194161326694669,-2.71118462320364,0.129059900444993,-5.7845318689186
10_4_8_2_10,1.26950288574012,0.000159049613995,1.86406136857562,6.18112887177575E-05,1.21357889580416,0.000230150227218,,-3.79846738056507,0.270460206083966,-4.20893220160836,0.084068015442244,-3.63798859200844
10_4_8_2_10,1.26950288574012,0.000159889325476,2.03652075345234,5.7981147239526E-05,1.59746907292505,0.000159627861993,,-3.79618052963474,0.308888840183817,-4.23671319576153,0.20343245895062,-3.79689130312477
10_4_8_2_10,1.62458790253647,0.000167267773901,1.74056501731171,5.90074558676709E-05,1.2014186435541,0.000214386889877,,-3.77658772290546,0.240690250620778,-4.22909310975433,0.07969436702356,-3.6688017760136
10_4_8_2_10,1.29744194018934,0.000188687299552,1.70210764272888,5.71399973845001E-05,1.44484116419333,0.000207715669449,,-3.72425733099623,0.230987021767915,-4.24305978383247,0.159820106396441,-3.68253074035201
10_4_8_2_10,1.78226922902961,0.000168258908764,1.47736775312409,5.71928998911055E-05,1.61411712508535,0.000177275647166,,-3.77402193200967,0.169488615334009,-4.24265788256198,0.207935045214239,-3.75135092050647
11_4_8_2_11,2.05968550716758,0.002027521001716,1.32677445662992,0.000205124605286,1.30582292682091,4.73210397528842E-06,,-2.69303463853129,0.122797101789667,-3.68798224163551,0.115884289405831,-5.32494572148326
11_4_8_2_11,2.05968550716758,0.001342344598508,1.20142443398286,0.00015886094456,1.4122197774273,5.31518017826572E-06,,-2.87213598042686,0.079696460170035,-3.79898285953826,0.149902289277015,-5.27448200882643
11_4_8_2_11,1.64964230144179,0.001932839596447,1.55547427337392,0.00016361471722,1.26772562659895,3.403375889404E-06,,-2.71380418594478,0.191862832529813,-3.78617763391676,0.103025269517417,-5.46809008214761
11_4_8_2_11,1.93635249105579,0.001544413571657,1.48927670056482,0.000167299918504,1.30352460619413,3.4360517262268E-06,,-2.81123639063395,0.172975395108982,-3.77650427059332,0.115119233612111,-5.46394030693457
11_4_8_2_11,1.61501291592031,0.001362975034576,1.41333561862887,0.000168450687678,1.33061941950526,3.37096788730926E-06,,-2.86551209900405,0.150245304106871,-3.77352721172856,0.12405385739534,-5.47224538465815
12_4_8_2_12,1.19354681523093,0.000616192138547,1.75599864916536,0.007402967992674,1.14742160616073,6.40507803667893E-06,,-3.21028384676468,0.2445241774811,-2.13059412832077,0.059723023468711,-5.1934755746324
12_4_8_2_12,1.56084732959701,0.000416731332918,1.75599864916536,0.007826297897657,1.32884884367191,5.70703021642568E-06,,-3.38014384487075,0.2445241774811,-2.10644362527685,0.123475582829351,-5.24358982803065
12_4_8_2_12,1.59261747603274,0.000386927308914,1.30391623905942,0.006024310186298,1.23865280635515,3.86111777959709E-06,,-3.4123706171588,0.11524969409325,-2.22009267480048,0.092949590948696,-5.41328695044823
12_4_8_2_12,1.33539252840307,0.000409825522478,1.30391623905942,0.004743343896457,1.30503337948489,3.74271060261021E-06,,-3.38740099877473,0.11524969409325,-2.32391538748825,0.115621619981352,-5.42681375251381
12_4_8_2_12,1.06115959656555,0.00040457549115,1.30391623905942,0.005354007346256,1.34348512057628,4.00790353619241E-06,,-3.39300042997033,0.11524969409325,-2.27132103725139,0.12823286087905,-5.39708273978639
13_4_8_2_13,1.01549432427628,0.000184512021403,1.2183512076541,5.86674499457317E-05,1.16487879458729,1.9484341790724E-06,,-3.73397533325067,0.08577249811616,-4.23160278852759,0.066280739456156,-5.71031426071988
13_4_8_2_13,1.00703295026762,0.000131319700373,1.1198763683381,4.78505463148995E-05,1.13942738694478,1.97601332997678E-06,,-3.88167011685422,0.049170080248568,-4.32011309947143,0.056686653821778,-5.7042101300339
13_4_8_2_13,1.30125449167722,0.000133036378484,1.28449796803375,6.15660247379773E-05,1.44843337709519,1.90640880626571E-06,,-3.87602958599105,0.108733421586072,-4.21065888750153,0.160898523961356,-5.7197839645224
13_4_8_2_13,1.24574888305822,0.000129158414982,1.0462218841063,0.000102468135695,1.17724168079246,1.99850347089286E-06,,-3.88887729323675,0.019623800041643,-3.98941116527429,0.070865630099093,-5.69929509314403
13_4_8_2_13,1.41604636911255,0.000130208182172,1.29547184088226,4.58108084981341E-05,1.2104731541487,1.89196258436341E-06,,-3.88536172421254,0.112427977350897,-4.33903204345247,0.082955162109543,-5.72308745649933
14_4_8_2_14,1.34131548560508,0.000300965170391,1.57550191148201,0.000511112992284,1.17937619187789,2.83220256060668E-05,,-3.52148376082549,0.197418934419308,-3.29148307931568,0.071652356407346,-4.54787568890325
14_4_8_2_14,1.01794609121142,0.000243924285297,1.57550191148201,0.000454238450044,1.24422258772954,1.99892983191014E-05,,-3.6127449588276,0.197418934419308,-3.34271610671873,0.094898081299573,-4.69920245057877
14_4_8_2_14,1.08227619762663,0.000251416410381,1.57550191148201,0.000407677773228,1.38990775880552,1.91005425727111E-05,,-3.599606378578,0.197418934419308,-3.3896829658291,0.142985979267748,-4.71895429594664
14_4_8_2_14,1.09382642636446,0.000249317775904,1.34774974750001,0.000408204999575,1.31809539652947,1.97495568846223E-05,,-3.60324675598559,0.129609259135908,-3.38912168047605,0.119946843252726,-4.70444264407409
14_4_8_2_14,1.09918216248207,0.00022656857817,1.31387776925778,0.000585287149052,1.43228164076214,1.93488462012787E-05,,-3.64480032074628,0.118554964458152,-3.23263101143524,0.156028425096283,-4.71334492745943
15_4_8_2_15,1.04768311485308,0.002217277938431,1.15092357421846,0.000146158866168,1.59318419063642,0.001913721938238,,-2.65417986414253,0.06104648575213,-3.83517483469555,0.202265988200866,-2.71812116450152
15_4_8_2_15,1.33691677930771,0.00228222879589,1.45265906891026,0.00014499403784,1.39331598387425,0.001368530546993,,-2.64164081924663,0.162163699731893,-3.83864985560243,0.144049619288922,-2.86374550425135
15_4_8_2_15,1.78125669992584,0.001501952494943,1.28263906503897,0.000157549803657,1.2604252803146,0.001266960345709,,-2.82334380335741,0.108104462988438,-3.80258213371965,0.100517105221596,-2.8972369777837
15_4_8_2_15,1.33651193030015,0.001463414986184,1.4107711436279,0.000162222661486,1.35971957149681,0.001304953915107,,-2.83463250186263,0.149456567885629,-3.78988847767805,0.133449348730899,-2.88440482531277
15_4_8_2_15,1.93435777893387,0.001479003191974,1.27281030193628,0.000150208676286,1.23668776725758,0.001351221155777,,-2.83003088871088,0.104763681767354,-3.8233049810848,0.092260064969793,-2.86927356372917
16_4_8_2_16,1.19917486695823,0.000235538776086,1.44972669573204,9.31340244085289E-06,1.49200196765084,3.15751205091309E-06,,-3.62793758597066,0.161286136219132,-5.0308916303678,0.173769395884196,-5.50065498324767
16_4_8_2_16,1.18990779580834,0.000164543344114,1.30376625568246,8.03363482795124E-06,1.4378636356029,1.98152081246792E-06,,-3.78371968051044,0.115199736360133,-5.09508791318315,0.157717700293478,-5.70300136178929
16_4_8_2_16,1.22045394018149,0.000154894024241,1.36458266262723,5.56065629587494E-06,1.34013386020215,1.98467233662294E-06,,-3.80996533685164,0.134999849156142,-5.25487394783228,0.127148180337665,-5.70231118368312
16_4_8_2_16,1.19917486695823,0.000193393127513,1.42360311500008,5.29316188079768E-06,1.57500864122576,2.51018898947228E-06,,-3.71355896322206,0.153388929616906,-5.2762848237752,0.197282940872521,-5.60029357971612
16_4_8_2_16,1.29193085027444,0.000236618714502,1.47990238250056,6.21985642663208E-06,1.31516808487924,2.03210277515597E-06,,-3.62595090939731,0.17023306935473,-5.20621964004247,0.118981261320511,-5.69205433105624
17_4_8_2_17,1.53990317402017,0.011263883983825,1.22056893724024,0.00084546822935,1.12692741592154,3.31601769011063E-05,,-1.94831183134153,0.086562313222724,-3.07290270749524,0.051895944546637,-4.47938316126503
17_4_8_2_17,1.10287397945404,0.008126763834668,1.56177285092361,0.00072788528061,1.18527292876118,3.57870891953997E-05,,-2.0900823607456,0.193617869000917,-3.13793706289022,0.0738183653731,-4.44627362426395
17_4_8_2_17,1.4812930603498,0.007468954919011,1.39759894432184,0.001007633910974,1.2565857452648,2.38683686607322E-05,,-2.12674016186049,0.145382563930103,-2.99669722515461,0.099192128762101,-4.62217726284716
17_4_8_2_17,1.51608735651445,0.010863789806587,1.56177285092361,0.001222144211349,1.17941398645986,2.33116720155839E-05,,-1.96401864574422,0.193617869000917,-2.91287754491358,0.071666273693036,-4.63242657585309
17_4_8_2_17,1.10287397945404,0.008047222248736,1.56177285092361,0.000700814901795,1.28781971613473,2.55133299281669E-05,,-2.09435400413262,0.193617869000917,-3.15439667211034,0.109855069725644,-4.5932328547948
18_4_8_2_18,1.59937047250093,0.000294376666078,1.29976941610849,9.16808498824431E-05,1.45615909579268,0.000877720237793,,-3.53109661755188,0.11386631369615,-4.03772136944361,0.163208827346653,-3.05664388790238
18_4_8_2_18,1.56137190693732,0.00027595682839,1.24347462197221,9.23883134732582E-05,1.51921800926912,0.000559300653769,,-3.55915885510331,0.094636926196305,-4.03438296076112,0.181620100017431,-3.25235467302272
18_4_8_2_18,1.96328164260754,0.000243707079924,1.42426758746313,7.96861262745332E-05,1.84443210458706,0.000566336191549,,-3.61313185396151,0.153591591015169,-4.09861728471302,0.265862673037533,-3.24692568402455
18_4_8_2_18,1.31649279368909,0.000204181595788,1.42426758746313,6.94118254897417E-05,1.62051924060496,0.000809480441279,,-3.68998340626443,0.153591591015169,-4.15856653376078,0.209654191825468,-3.09179364023639
18_4_8_2_18,1.16364549274612,0.000306663238987,1.26264158947444,6.93582297631648E-05,1.7018676616677,0.000749210974278,,-3.5133382816046,0.101280090220056,-4.15890199993064,0.230925786041163,-3.12539586979991
19_4_8_2_19,1.05942028038755,0.001820635876802,1.60541755677499,0.000130125643449,1.40440581172568,4.99814244041081E-06,,-2.73977690346816,0.20558800809186,-3.88563710996433,0.147492617998647,-5.30119137121819
19_4_8_2_19,1.05909616035363,0.001399304921779,1.31251047914204,8.54486868067599E-05,1.19573000294054,2.82645833241896E-06,,-2.85408763831978,0.118102779518296,-4.06829460722013,0.077633126583352,-5.54875741251552
19_4_8_2_19,1.05909616035363,0.001361075766944,1.52164015591178,8.5040678070302E-05,1.54932666799405,2.95453451268134E-06,,-2.86611769827219,0.182311960726874,-4.07037328563179,0.190142996293659,-5.52951093254858
19_4_8_2_19,1.05942028038755,0.001343618522828,1.49540333323729,9.87891153148753E-05,1.49010932122786,2.87451739434599E-06,,-2.87172401770136,0.174758344349278,-4.00529090378382,0.173218131408505,-5.54143505899726
19_4_8_2_19,1.01047489941519,0.000995357551613,1.74503759957964,8.39477975262183E-05,1.40504452339608,3.03235603935506E-06,,-3.00202088428049,0.241804788953673,-4.07599069362668,0.1476900864894,-5.51821980803692
20_4_8_2_20,1.14967806571212,0.004579071337978,1.11623303274284,0.001388807038894,1.24281035801312,1.98955402894576E-06,,-2.33922259048653,0.047754870470254,-2.85735809102626,0.094404864159052,-5.70124426252192
20_4_8_2_20,1.03408395706327,0.003395046477025,1.29925516261409,0.001879129360397,1.26661477628173,1.48722030002379E-06,,-2.46915427599988,0.113694451175372,-2.72604332177664,0.102644550184421,-5.82762469523176
20_4_8_2_20,1.12981577908279,0.004303723103446,1.34847995144519,0.001705477764532,1.24281035801312,1.95011824837074E-06,,-2.3661556784462,0.129844493954316,-2.76815393841079,0.094404864159052,-5.709939053736
20_4_8_2_20,1.14967806571212,0.002587943975007,1.11623303274284,0.001274696031097,1.25020391306477,1.47852678929E-06,,-2.58704512970684,0.047754870470254,-2.89459336641123,0.096980853885116,-5.83017080212507
20_4_8_2_20,1.14967806571212,0.002975298271044,1.25118894487198,0.001664600665739,1.22305838836036,1.50498530021893E-06,,-2.5264694901118,0.097322898437714,-2.77868993601166,0.087447190591001,-5.82246774197378
21_4_8_2_21,1.03218594212876,0.000451888709596,1.52530561768043,0.000381067011966,1.57569066825933,0.000635066773759,,-3.34496850934685,0.183356869764295,-3.4189986454058,0.197470962992514,-3.19718060864432
21_4_8_2_21,1.52153245081,0.000305653784357,1.70465551018439,0.000490865408726,1.6150377726858,0.000418882136249,,-3.51477022275924,0.231636626646908,-3.30903757154392,0.208182684114288,-3.37790816027356
21_4_8_2_21,1.53883465813548,0.000327001948626,1.70465551018439,0.00037288873803,1.36614941676215,0.000409228184287,,-3.48544965934278,0.231636626646908,-3.42842073298432,0.135498201048731,-3.38803446328147
