Experiment config name,,,2 Skills,,,,4 Skills,,,,8 Skills
00_4_8_2_0,1.47486373960342,0.010323915669538,-1.98615555162952,30_4_8_4_0,1.21474713778911,3.58747920102066E-05,-4.44521060814175,60_4_8_8_0,1.36868705931833,2.82809040682946E-06,-5.54850671136751
00_4_8_2_0,1.47486373960342,0.002058168711673,-2.68651902823952,30_4_8_4_0,1.21611215415072,3.85409942621048E-05,-4.41407708581508,60_4_8_8_0,1.45464825383597,2.74112348120725E-06,-5.5620714000683
00_4_8_2_0,1.31768734855827,0.001990884071701,-2.70095402801185,30_4_8_4_0,1.21494896976333,3.75993986712857E-05,-4.42481910070614,60_4_8_8_0,1.52953104510474,2.93911201400675E-06,-5.53178386199203
00_4_8_2_0,1.47486373960342,0.001763940964001,-2.75351595403286,30_4_8_4_0,1.23570557821071,4.38932218309711E-05,-4.3576025400924,60_4_8_8_0,1.45323889530232,2.86435746517404E-06,-5.542972784037
00_4_8_2_0,1.07464175462848,0.001864012610738,-2.72955115380851,30_4_8_4_0,1.20902353363145,4.0339937417196E-05,-4.394264779881,60_4_8_8_0,1.56421214415201,2.82512983063807E-06,-5.54896158910682
01_4_8_2_1,1.79880926312243,0.004103389790766,-2.38685722640665,31_4_8_4_1,1.24248349646722,4.68211281577653E-05,-4.3295581261629,61_4_8_8_1,1.61739670800174,9.79412052177988E-07,-6.00903455606398
01_4_8_2_1,1.79880926312243,0.003765999963525,-2.4241196885256,31_4_8_4_1,1.56458769057254,4.67540705267309E-05,-4.33018057237776,61_4_8_8_1,1.34298338445245,9.90094119550072E-07,-6.00432351887888
01_4_8_2_1,1.05069809035308,0.005147474526417,-2.28840579392101,31_4_8_4_1,1.10287273711629,4.95332367907103E-05,-4.30510329175478,61_4_8_8_1,1.50400167523748,1.08142579558139E-06,-5.96600327527728
01_4_8_2_1,1.72508595384301,0.004072125868551,-2.39017880651309,31_4_8_4_1,1.75762050209128,4.7841894319066E-05,-4.32019163261434,61_4_8_8_1,1.62766307659619,9.7967910386229E-07,-6.00891615516851
01_4_8_2_1,1.05069809035308,0.003773815944079,-2.42321928499249,31_4_8_4_1,1.39060342282365,5.72895694470174E-05,-4.24192444162693,61_4_8_8_1,1.36735249794166,9.92230533024489E-07,-6.00338741293778
02_4_8_2_2,1.08604862742766,0.013417557835139,-1.87232652405079,32_4_8_4_2,1.16022508371023,1.91745486477272E-05,-4.71727485017473,62_4_8_8_2,2.01067423896757,3.80261225021826E-06,-5.41991795704331
02_4_8_2_2,1.69959173074708,0.002196086501745,-2.65835055744118,32_4_8_4_2,1.28149229998163,1.26574310890754E-05,-4.89765442836662,62_4_8_8_2,1.46711194735712,3.89047884731406E-06,-5.40999694161837
02_4_8_2_2,1.36572200457097,0.002358129409086,-2.62743236543689,32_4_8_4_2,1.16999401618484,1.26945807819993E-05,-4.89638163642638,62_4_8_8_2,2.1080696399824,3.95505550301098E-06,-5.40284741748052
02_4_8_2_2,1.1510363424696,0.002217962294236,-2.65404584120962,32_4_8_4_2,1.18951219409618,1.24610684264776E-05,-4.90444471916718,62_4_8_8_2,1.88185443094767,3.88465636196434E-06,-5.41064739300293
