Experiment config name,2 Skills,,,,4 Skills,,,,8 Skills,,
00_4_8_2_0,1.08939957551494,0.001238493542528,-2.90710625347198,30_4_8_4_0,1.25908835414987,2.55568866413366E-05,-4.59249205336349,60_4_8_8_0,1.52904580737987,1.96730287918155E-06,-5.7061287724492
01_4_8_2_1,1.09832150685222,0.016134789189978,-1.7922367045227,31_4_8_4_1,1.00226868571403,3.36107748439973E-05,-4.47352147543313,61_4_8_8_1,1.34298338445245,8.13439430384227E-07,-6.08967477957928
02_4_8_2_2,1.1510363424696,0.001936007635462,-2.71309293420093,32_4_8_4_2,1.24756702348796,1.07415683539994E-05,-4.96893230357499,62_4_8_8_2,1.40994008016634,2.94088441845945E-06,-5.53152204363698
03_4_8_2_3,1.13972676080652,0.000150383318217,-3.82280033667069,33_4_8_4_3,1.42019968276583,2.02373193298158E-05,-4.69384701541778,63_4_8_8_3,1.51028445820082,6.14907261859536E-06,-5.21119037804512
04_4_8_2_4,1.23268213015278,0.000158351457573,-3.80037793473604,34_4_8_4_4,1.06935242349679,0.000915967908036,-3.03811974206035,64_4_8_8_4,1.35400028076457,0.000724472831333,-3.13997789649149
05_4_8_2_5,1.32141767352685,0.000885840399552,-3.05264451720726,35_4_8_4_5,1.13076314832989,1.17798942063688E-06,-5.92885860987121,65_4_8_8_5,1.83022776733297,3.81942952446572E-05,-4.41800149909828
06_4_8_2_6,1.01779083515179,0.002888169329401,-2.53937734826698,36_4_8_4_6,1.38974670450544,0.000424445296802,-3.37217827439036,66_4_8_8_6,1.82702045445134,2.91865339464704E-05,-4.5348174766906
07_4_8_2_7,1.31195708355369,0.000758579225327,-3.11999905518634,37_4_8_4_7,1.44432822749287,1.57942620293262E-05,-4.80150066124847,67_4_8_8_7,1.58109090581699,8.57420838173485E-07,-6.06680596589912
08_4_8_2_8,1.15651488601375,5.14975960912661E-05,-4.28821304336007,38_4_8_4_8,1.45296046834211,0.000580317026245,-3.23633468724044,68_4_8_8_8,1.20212682690216,3.55639326689822E-06,-5.44899022064888
09_4_8_2_9,1.11417849961359,0.000349453400509,-3.45661072907738,39_4_8_4_9,1.53584694819743,0.000667421196144,-3.17560000501985,69_4_8_8_9,1.60163972911132,1.2552967052549E-06,-5.90125361105529
10_4_8_2_10,1.40379194717509,0.000310025637186,-3.50860239123657,40_4_8_4_10,1.37051077239304,3.36027210528579E-05,-4.47362555325322,70_4_8_8_10,1.73862782369366,6.20175572933549E-05,-4.20748534346646
