Experiment config name,,,,,,,,2 Skills,,4 Skills,,8 Skills
00_4_8_2_0,456.265,0.943130016326904,661.583,28.9037408828735,970.135,441.697568893433,,-0.025428432945491,2.820584337081,1.46095405520117,2.986832173107,2.64512500890505
01_4_8_2_1,492.192,0.464430093765259,545.724,18.7794969081879,955.259,1861.4045779705,,-0.333079646959417,2.73697305372518,1.27368395358907,2.98012113809761,3.26984077768949
02_4_8_2_2,490.602,0.694836139678955,795.096,111.140444993973,716.602,1192.12558293343,,-0.158117601199361,2.9004195685976,2.04587213131961,2.85527801592575,3.07632200800672
03_4_8_2_3,771.758,7.59499192237854,839.503,40.877748966217,628.439,210.359834909439,,0.880527316306996,2.92402225244681,1.61148697229135,2.79826312888103,2.32296282130691
04_4_8_2_4,509.567,5.02192282676697,423.041,0.846318006515503,785.843,2.25354814529419,,0.700870034508569,2.62638246007214,-0.07246641884714,2.89533578898557,0.352866840868163
05_4_8_2_5,388.908,0.682285070419312,580.767,790.261636018753,720.805,44.5424749851227,,-0.166034131732622,2.76400193116816,2.89777089922409,2.85781779054714,1.64877434477073
06_4_8_2_6,435.398,0.275266170501709,728.106,2.88543200492859,908.728,198.702692985535,,-0.560247158992425,2.86219460989538,0.460210844635934,2.95843390987066,2.29820375307274
07_4_8_2_7,490.741,1.18361186981201,792.954,45.9902350902557,895.244,1357.71587991714,,0.073209311818106,2.89924799422099,1.66266562958143,2.95194141901583,3.13280889756306
08_4_8_2_8,549.053,20.7463409900665,467.9,1.28329610824585,757.324,552.51898598671,,1.31694151174941,2.67015304519218,0.108326877216457,2.87928172006561,2.7423472060994
09_4_8_2_9,584.834,4.02908301353455,730.069,1.31903481483459,1014.806,1770.76362991333,,0.605206215501699,2.86336390793295,0.120256258541824,3.00638302630609,3.2481605933327
10_4_8_2_10,509.391,17.3196790218353,635.016,45.0675392150879,760.817,17.3331120014191,,1.238539839163,2.8027846680072,1.65386384530229,2.88128020808775,1.23887654330883
11_4_8_2_11,325.859,1.74505305290222,697.743,17.4032821655273,853.4,890.170519828796,,0.241808634866798,2.84369548818951,1.24063116161334,2.93115263852329,2.94947320746203
12_4_8_2_12,603.586,5.90366291999817,676.086,0.651620149612427,968.21,730.91806101799,,0.771121552716759,2.83000194290891,-0.186005494759186,2.98596956386817,2.86386869345264
13_4_8_2_13,688.57,19.3048319816589,602.584,64.4046680927277,875.699,1452.34062600136,,1.28566602612293,2.78001759596667,1.80891734645049,2.94235485376759,3.16206848595343
14_4_8_2_14,588.793,11.360652923584,861.094,7.23540711402893,648.667,139.22750210762,,1.05540329202298,2.9350505631296,0.859462972552772,2.81202180438552,2.14372503149459
15_4_8_2_15,478.398,1.65183901786804,877.256,17.6025919914246,866.925,2.19005703926086,,0.217967720309879,2.94312634725847,1.24557662262607,2.93798152712436,0.340455426033567
16_4_8_2_16,897.861,16.999330997467,737.782,487.542750120163,746.996,1513.0366601944,,1.23043183021207,2.86792805534181,2.68801270275718,2.87331827626978,3.17984945090967
17_4_8_2_17,393.027,0.299740791320801,673.076,3.71670603752136,1038.859,123.342849969864,,-0.523254150480971,2.82806410511121,0.570158213145516,3.01655660657798,2.09111397904963
18_4_8_2_18,361.088,11.8951468467712,1009.014,44.4846248626709,639.749,4.84594893455505,,1.07536980781496,3.00389719208485,1.64820993252913,2.80600961570839,0.68537883333475
19_4_8_2_19,1122.346,3.23677682876587,680.266,32.7234179973602,872.517,977.307050943375,,0.51011275643787,2.83267876526987,1.5148586599096,2.940773897447,2.99003103207097
20_4_8_2_20,622.384,0.868477821350098,560.516,2.35052609443665,929.961,1892.31743788719,,-0.061241267819365,2.74858801409876,0.371165076884382,2.96846473582281,3.27699399145209
21_4_8_2_21,480.698,8.26439905166626,503.239,7.05494785308838,574.225,6.71744108200073,,0.917211279197974,2.70177429068138,0.848493807998281,2.75908209642537,0.827203865968744
22_4_8_2_22,668.21,6.25700378417969,780.212,44.4157161712647,830.898,44.8209619522095,,0.796366417635003,2.89221262566522,1.64753666918551,2.91954771360838,1.65148117317301
23_4_8_2_23,495.97,9.14330792427063,444.477,3.02691793441772,855.734,288.256860971451,,0.961103345991204,2.64784929279438,0.481000646555292,2.93233878770863,2.4597796529887
24_4_8_2_24,788.167,2.70288491249084,798.699,22.1814408302307,966.813,1358.71026086807,,0.431827554047134,2.90238314068043,1.34598975300769,2.98534248140287,3.13312685517119
25_4_8_2_25,749.615,32.9644141197205,781.912,2.46972417831421,951.956,8778.78383302689,,1.51804536138312,2.8931578782965,0.392648453452013,2.97861687548656,3.94343435517842
26_4_8_2_26,378.962,0.340395212173462,834.045,1.78300094604492,484.378,5.76448488235474,,-0.468016557110567,2.92118948316107,0.251151573608321,2.68518440966594,0.760760504562874
27_4_8_2_27,805.366,98.0646178722382,642.939,1.74309921264648,758.429,131.126778125763,,1.9915123403604,2.80816977040464,0.241322106719095,2.87991493073716,2.11769139042923
28_4_8_2_28,974.177,23.6365239620209,888.297,2.9962260723114,1051.933,1907.96755814552,,1.3735836086258,2.94855819539091,0.476574578804875,3.02198807949746,3.28057098596652
29_4_8_2_29,535.113,8.39164710044861,481.966,7.35906195640564,697.857,41.5792980194092,,0.923847211893031,2.68301640227785,0.866822459294009,2.84376643913684,1.61887715289178
30_4_8_4_0,,,,,,,,,,,,
31_4_8_4_1,,,,,,,,,,,,
32_4_8_4_2,,,,,,,,,,,,
33_4_8_4_3,,,,,,,,,,,,
34_4_8_4_4,,,,,,,,,,,,
35_4_8_4_5,,,,,,,,,,,,
36_4_8_4_6,,,,,,,,,,,,
37_4_8_4_7,,,,,,,,,,,,
38_4_8_4_8,,,,,,,,,,,,
39_4_8_4_9,,,,,,,,,,,,
40_4_8_4_10,,,,,,,,,,,,
41_4_8_4_11,,,,,,,,,,,,
42_4_8_4_12,,,,,,,,,,,,
43_4_8_4_13,,,,,,,,,,,,
44_4_8_4_14,,,,,,,,,,,,
45_4_8_4_15,,,,,,,,,,,,
46_4_8_4_16,,,,,,,,,,,,
47_4_8_4_17,,,,,,,,,,,,
48_4_8_4_18,,,,,,,,,,,,
49_4_8_4_19,,,,,,,,,,,,
50_4_8_4_20,,,,,,,,,,,,
51_4_8_4_21,,,,,,,,,,,,
52_4_8_4_22,,,,,,,,,,,,
53_4_8_4_23,,,,,,,,,,,,
54_4_8_4_24,,,,,,,,,,,,
55_4_8_4_25,,,,,,,,,,,,
56_4_8_4_26,,,,,,,,,,,,
57_4_8_4_27,,,,,,,,,,,,
58_4_8_4_28,,,,,,,,,,,,
59_4_8_4_29,,,,,,,,,,,,
60_4_8_8_0,,,,,,,,,,,,
61_4_8_8_1,,,,,,,,,,,,
62_4_8_8_2,,,,,,,,,,,,
63_4_8_8_3,,,,,,,,,,,,
